Japan,Djibouti,,,,,,,,,Tuvalu,Switzerland
Singapore,"Egypt, Arab Rep.",,,,,,,,,"Venezuela, RB",Trinidad and Tobago
,Equatorial Guinea,,,,,,,,,Indonesia,United Arab Emirates
,Eritrea,,,,,,,,,,United Kingdom
,Ethiopia,,,,,,,,,,United States
,Gabon,,,,,,,,,,Uruguay
,"Gambia, The",,,,,,,,,,Mauritius
,Ghana,,,,,,,,,,Romania
,Kenya,,,,,,,,,,
,Lesotho,,,,,,,,,,
,Liberia,,,,,,,,,,
,Libya,,,,,,,,,,
,Madagascar,,,,,,,,,,
,Malawi,,,,,,,,,,
,Mali,,,,,,,,,,
,Morocco,,,,,,,,,,
,Mozambique,,,,,,,,,,
,Namibia,,,,,,,,,,
,Niger,,,,,,,,,,
,Nigeria,,,,,,,,,,
,Rwanda,,,,,,,,,,
,Senegal,,,,,,,,,,
,Sierra Leone,,,,,,,,,,
,Somalia,,,,,,,,,,
,South Africa,,,,,,,,,,
,South Sudan,,,,,,,,,,
,Sudan,,,,,,,,,,
,Syrian Arab Republic,,,,,,,,,,
,Togo,,,,,,,,,,
,Tunisia,,,,,,,,,,
,Uganda,,,,,,,,,,
,Tanzania,,,,,,,,,,
,Zambia,,,,,,,,,,
,Zimbabwe,,,,,,,,,,
,Seychelles,,,,,,,,,,
,Sao Tome and Principe,,,,,,,,,,
,Mauritius,,,,,,,,,,
,Mauritania,,,,,,,,,,
,Guinea-Bissau,,,,,,,,,,
,Guinea,,,,,,,,,,
,Comoros,,,,,,,,,,
,Burundi,,,,,,,,,,
,Belize,,,,,,,,,,
,"Bahamas, The",,,,,,,,,,
,Argentina,,,,,,,,,,
,Bolivia,,,,,,,,,,
,Brazil,,,,,,,,,,
,Chile,,,,,,,,,,
,Colombia,,,,,,,,,,
,Costa Rica,,,,,,,,,,
,Cuba,,,,,,,,,,
,Dominican Republic,,,,,,,,,,
,Ecuador,,,,,,,,,,
,El Salvador,,,,,,,,,,
,Guatemala,,,,,,,,,,
,Haiti,,,,,,,,,,
,Honduras,,,,,,,,,,
,Jamaica,,,,,,,,,,
,Mexico,,,,,,,,,,
,Panama,,,,,,,,,,
,Paraguay,,,,,,,,,,
,Peru,,,,,,,,,,
,Puerto Rico,,,,,,,,,,
,Suriname,,,,,,,,,,
,Trinidad and Tobago,,,,,,,,,,
,Uruguay,,,,,,,,,,
,"Venezuela, RB",,,,,,,,,,
,Nicaragua,,,,,,,,,,
,Guyana,,,,,,,,,,
,Grenada,,,,,,,,,,
,Dominica,,,,,,,,,,
,Barbados,,,,,,,,,,
,Antigua and Barbuda,,,,,,,,,,
,Iraq,,,,,,,,,,
,Afghanistan,,,,,,,,,,
,Armenia,,,,,,,,,,
,Bahrain,,,,,,,,,,
,"Iran, Islamic Rep.",,,,,,,,,,
,Jordan,,,,,,,,,,
,Kazakhstan,,,,,,,,,,
,Kuwait,,,,,,,,,,
,Kyrgyz Republic,,,,,,,,,,
,Lebanon,,,,,,,,,,
,Oman,,,,,,,,,,
,Qatar,,,,,,,,,,
,Saudi Arabia,,,,,,,,,,
,Tajikistan,,,,,,,,,,
,Turkmenistan,,,,,,,,,,
,United Arab Emirates,,,,,,,,,,
,Uzbekistan,,,,,,,,,,
,"Yemen, Rep.",,,,,,,,,,
